,original,perturbated_noise3_0,upsampled_perturbated_noise3_0,downsampled_perturbated_noise3_0,perturbated_noise10_0,upsampled_perturbated_noise10_0,downsampled_perturbated_noise10_0,perturbated_noise100_0,upsampled_perturbated_noise100_0,downsampled_perturbated_noise100_0,upsampled_0,downsampled_0,perturbated_noise3_1,upsampled_perturbated_noise3_1,downsampled_perturbated_noise3_1,perturbated_noise10_1,upsampled_perturbated_noise10_1,downsampled_perturbated_noise10_1,perturbated_noise100_1,upsampled_perturbated_noise100_1,downsampled_perturbated_noise100_1,upsampled_1,downsampled_1
0,3,6,,,6,,,6,,,,,6,,,6,,,6,,,,
1,3,3,2,2,3,2,2,3,2,2,3,3,3,0,0,3,0,0,3,0,0,5,0
2,8,8,2,2,8,2,2,8,2,2,3,3,8,5,5,8,5,5,8,5,5,3,5
3,3,3,3,,3,3,,3,3,,2,,3,4,,3,4,,3,4,,4,
4,2,2,0,0,2,0,0,2,0,0,0,0,2,,,2,,,2,,,,
5,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,0,1
6,5,5,,,5,,,5,,,,,5,7,7,5,7,7,5,7,7,12,10
7,1,0,2,2,0,2,2,0,2,2,3,3,1,5,5,1,5,5,1,5,5,3,5
8,5,5,1,,5,1,,5,1,,6,,5,5,,5,5,,5,5,,3,
9,5,5,1,,5,1,,5,1,,6,,5,8,8,5,8,8,5,8,8,13,11
10,0,0,6,6,0,6,6,0,6,6,8,6,1,3,3,1,3,3,1,3,3,2,4
11,1,1,0,0,1,0,0,1,0,0,0,0,0,3,3,0,3,3,0,3,3,2,4
12,0,0,,,0,,,0,,,,,1,,,1,,,1,,,,
13,4,4,0,0,4,0,0,4,0,0,7,0,4,9,0,4,9,0,4,9,0,6,6
14,1,1,,,1,,,1,,,,,0,3,3,0,3,3,0,3,3,2,4
15,5,5,7,,5,7,,5,7,,9,,5,0,0,5,0,0,5,0,0,5,33
16,5,5,1,1,5,1,1,5,1,1,1,1,5,3,3,5,3,3,5,3,3,2,4
17,4,4,,,4,,,4,,,,,4,0,,4,0,,4,0,,15,
18,3,3,3,,3,3,,3,3,,2,,3,1,1,3,1,1,3,1,1,0,1
19,1,1,2,2,1,2,2,1,2,2,10,8,0,3,3,0,3,3,0,3,3,2,7
20,2,2,1,1,2,1,1,2,1,1,6,1,2,7,7,2,7,7,2,7,7,12,10
21,1,1,3,3,1,3,3,1,3,3,2,2,0,2,2,0,2,2,0,2,2,1,2
22,3,3,6,6,3,6,6,3,6,6,8,6,3,0,0,3,0,0,3,0,0,5,0
23,8,8,,,8,,,8,,,,,8,,,8,,,8,,,,
24,7,7,3,3,7,3,3,7,3,3,2,2,7,,,7,,,7,,,,
25,1,1,7,,1,7,,1,7,,9,,0,4,4,0,4,4,0,4,4,4,3
26,2,2,,,2,,,2,,,,,2,1,1,2,1,1,2,1,1,0,1
27,2,2,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,11,9
28,5,5,,,5,,,5,,,,,5,1,1,5,1,1,5,1,1,7,6
29,0,0,,,0,,,0,,,,,0,6,6,0,6,6,0,6,6,9,8
30,3,3,1,1,3,1,1,3,1,1,6,9,3,3,3,3,3,3,3,3,3,8,7
31,1,1,0,0,1,0,0,1,0,0,0,1,0,,,0,,,0,,,,
32,0,0,,,0,,,0,,,,,1,5,5,1,5,5,1,5,5,3,5
33,5,5,0,,5,0,,5,0,,0,,5,,,5,,,5,,,,
34,0,0,,,0,,,0,,,,,1,,,1,,,1,,,,
35,3,3,1,0,3,1,0,3,1,0,0,0,3,,,3,,,3,,,,
36,1,1,,,1,,,1,,,,,0,1,1,0,1,1,0,1,1,0,1
37,0,0,2,2,0,2,2,0,2,2,3,3,1,2,2,1,2,2,1,2,2,1,2
38,1,1,1,,1,1,,1,1,,1,,0,3,3,0,3,3,0,3,3,8,7
39,6,4,0,0,4,0,0,4,0,0,0,0,6,,,6,,,6,,,,
40,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,2,3,2,2,135,2
41,0,0,,,0,,,0,,,,,1,0,,1,0,,1,0,,10,
42,8,8,0,,8,0,,8,0,,7,,8,5,5,8,5,5,8,5,5,3,5
43,1,1,4,4,1,4,4,1,4,4,5,4,0,3,3,0,3,3,0,3,3,2,4
44,0,0,4,4,0,4,4,0,4,4,5,4,1,,,1,,,1,,,,
45,5,5,1,1,5,1,1,5,1,1,1,1,5,2,2,5,2,2,5,2,2,1,2
46,4,4,8,8,4,8,8,4,8,8,11,10,4,1,1,4,1,1,4,1,1,5,1
47,8,8,1,1,8,1,1,8,1,1,1,1,8,6,6,8,6,6,8,6,6,20,7
48,3,3,,,3,,,3,,,,,3,4,4,3,4,4,3,4,4,4,3
49,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
50,7,7,,,7,,,7,,,,,7,2,2,7,2,2,7,2,2,1,2
51,8,8,,,8,,,8,,,,,8,3,3,8,3,3,8,3,3,2,4
52,1,1,,,1,,,1,,,,,0,8,8,0,8,8,0,8,8,13,11
53,3,3,0,0,3,0,0,3,0,0,7,0,3,,,3,,,3,,,,
54,0,0,0,,0,0,,0,0,,7,,1,,,1,,,1,,,,
55,5,5,4,4,5,4,4,5,4,4,5,2,5,1,1,5,1,1,5,1,1,7,6
56,2,2,,,2,,,2,,,,,2,1,1,2,1,1,2,1,1,0,1
57,1,1,9,9,1,9,9,1,9,9,14,11,0,0,0,0,0,0,0,0,0,5,0
58,3,3,7,7,3,7,7,3,7,7,9,7,3,1,1,3,1,1,3,1,1,0,1
59,3,3,4,4,3,4,4,3,4,4,5,4,3,6,6,3,6,6,3,6,6,9,8
60,8,8,4,,8,4,,8,4,,13,,8,0,0,8,0,0,8,0,0,5,0
61,8,8,,,8,,,8,,,,,8,,,8,,,8,,,,
62,3,3,,,3,,,3,,,,,3,,,3,,,3,,,,
63,3,3,,,3,,,3,,,,,3,3,3,3,3,3,3,3,3,2,4
64,3,3,,,3,,,3,,,,,3,2,2,3,2,2,3,2,2,11,9
65,4,4,,,4,,,4,,,,,4,5,5,4,5,5,4,5,5,3,5
66,3,3,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,4
67,1,1,5,5,1,5,5,1,5,5,4,5,0,1,1,0,1,1,0,1,1,7,6
68,0,0,,,0,,,0,,,,,1,0,0,1,0,0,1,0,0,5,0
69,0,0,,,0,,,0,,,,,1,1,1,1,1,1,1,1,1,7,6
70,1,1,5,5,1,5,5,1,5,5,4,5,0,,,0,,,0,,,,
71,6,6,7,7,6,7,7,6,7,7,9,7,6,5,5,6,5,5,6,5,5,3,5
72,0,1,,,1,,,1,,,,,1,3,3,1,3,3,1,3,3,2,4
73,0,0,5,5,0,5,5,0,5,5,4,5,1,1,1,1,1,1,1,1,1,0,1
74,3,3,1,,3,1,,3,1,,1,,3,3,3,3,3,3,3,3,3,2,4
75,0,0,8,8,0,8,8,0,8,8,11,10,1,2,,1,2,,1,2,,1,
76,3,3,2,2,3,2,2,3,2,2,3,3,3,1,1,3,1,1,3,1,1,0,1
77,2,2,2,2,2,2,2,2,2,2,10,8,2,1,1,2,1,1,2,1,1,0,6
78,1,1,2,2,1,2,2,1,2,2,3,3,0,2,2,0,2,2,0,2,2,11,9
79,2,2,1,,2,1,,2,1,,1,,2,1,1,2,1,1,2,1,1,7,6
80,0,0,4,,0,4,,0,4,,5,,1,5,5,1,5,5,1,5,5,3,5
81,0,0,3,,0,3,,0,3,,2,,1,1,1,1,1,1,1,1,1,0,1
82,3,3,0,0,3,0,0,3,0,0,0,0,3,7,7,3,7,7,3,7,7,12,10
83,2,2,1,,2,1,,2,1,,6,,2,0,,2,0,,2,0,,15,
84,1,1,0,0,1,0,0,1,0,0,7,0,0,2,2,0,2,2,0,2,2,1,2
85,8,8,0,0,8,0,0,8,0,0,0,0,8,1,1,8,1,1,8,1,1,0,1
86,3,3,3,3,3,3,3,3,3,3,2,2,3,,,3,,,3,,,,
87,5,5,0,0,5,0,0,5,0,0,0,0,5,,,5,,,5,,,,
88,3,3,,,3,,,3,,,,,3,0,,3,0,,3,0,,5,
89,3,3,,,3,,,3,,,,,3,,,3,,,3,,,,
90,2,2,5,,2,5,,2,5,,4,,2,,,2,,,2,,,,
91,0,0,2,2,0,2,2,0,2,2,10,8,1,,,1,,,1,,,,
92,5,5,0,0,5,0,0,5,0,0,0,0,5,3,3,5,3,3,5,3,3,2,4
93,1,1,2,2,1,2,2,1,2,2,3,3,0,1,1,0,1,1,0,1,1,0,1
94,1,1,3,3,1,3,3,1,3,3,12,2,0,8,8,0,8,8,0,8,8,13,11
95,1,1,3,3,1,3,3,1,3,3,2,2,0,,,0,,,0,,,,
96,0,0,,,0,,,0,,,,,1,1,1,1,1,1,1,1,1,0,1
97,5,5,5,5,5,5,5,5,5,5,4,5,5,,,5,,,5,,,,
98,5,5,,,5,,,5,,,,,5,4,,5,4,,5,4,,4,
99,1,1,3,,1,3,,1,3,,2,,0,5,,0,5,,0,5,,3,
100,5,5,10,10,5,10,10,5,10,10,16,12,5,8,8,5,8,8,5,8,8,13,11
101,1,1,0,0,1,0,0,1,0,0,7,0,0,,,0,,,0,,,,
102,1,1,0,0,1,0,0,1,0,0,0,0,0,,,0,,,0,,,,
103,6,6,3,3,6,3,3,6,3,3,2,2,6,,,6,,,6,,,,
104,0,0,5,5,0,5,5,0,5,5,4,5,1,,,1,,,1,,,,
105,1,1,,,1,,,1,,,,,0,2,2,0,2,2,0,2,2,1,2
106,0,0,1,1,0,1,1,0,1,1,1,1,1,0,,1,0,,1,0,,6,
107,0,0,3,3,0,3,3,0,3,3,2,2,1,1,1,1,1,1,1,1,1,7,6
108,4,4,1,1,4,1,1,4,1,1,1,1,4,,,4,,,4,,,,
109,3,3,1,,3,1,,3,1,,1,,3,,,3,,,3,,,,
110,3,3,1,,3,1,,3,1,,1,,3,,,3,,,3,,,,
111,1,1,0,0,1,0,0,1,0,0,7,0,0,1,1,0,1,1,0,1,1,0,1
112,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
113,3,3,4,4,3,4,4,3,4,4,5,4,3,10,4,3,10,4,3,10,4,17,13
114,0,0,8,8,0,8,8,0,8,8,11,10,1,,,1,,,1,,,,
115,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,0,,,,
116,1,1,4,4,1,4,4,1,4,4,5,4,0,1,1,0,1,1,0,1,1,0,1
117,0,0,,,0,,,0,,,,,1,0,0,1,0,0,1,0,0,5,0
118,3,3,3,3,3,3,3,3,3,3,12,2,3,4,3,3,4,3,3,4,3,8,3
119,4,4,1,,4,1,,4,1,,1,,4,,,4,,,4,,,,
120,3,4,6,6,4,6,6,4,6,6,8,6,3,3,,3,3,,3,3,,8,
121,2,2,,,2,,,2,,,,,2,,,2,,,2,,,,
122,3,3,2,2,3,2,2,3,2,2,10,8,3,6,,3,6,,3,6,,9,
123,1,1,5,5,1,5,5,1,5,5,4,5,0,0,0,0,0,0,0,0,0,6,0
124,5,5,0,0,5,0,0,5,0,0,0,0,5,,,5,,,5,,,,
125,8,8,1,,8,1,,8,1,,37,,8,0,0,8,0,0,8,0,0,10,0
126,0,0,0,0,0,0,0,0,0,0,7,0,1,2,2,1,2,2,1,2,2,1,2
127,6,6,1,1,6,1,1,6,1,1,6,1,6,,,6,,,6,,,,
128,1,1,1,,1,1,,1,1,,1,,0,,,0,,,0,,,,
129,1,1,4,4,1,4,4,1,4,4,5,4,0,4,4,0,4,4,0,4,4,4,3
130,0,0,3,3,0,3,3,0,3,3,12,2,1,2,,1,2,,1,2,,11,
131,2,2,3,3,2,3,3,2,3,3,12,2,2,0,0,2,0,0,2,0,0,5,0
132,0,0,4,4,0,4,4,0,4,4,5,4,1,9,9,1,9,9,1,9,9,14,12
133,3,3,,,3,,,3,,,,,3,1,1,3,1,1,3,1,1,0,1
134,7,7,2,2,7,2,2,7,2,2,3,3,7,,,7,,,7,,,,
135,0,0,5,5,0,5,5,0,5,5,4,5,1,,,1,,,1,,,,
136,3,3,0,0,3,0,0,3,0,0,0,0,3,6,6,3,6,6,3,6,6,9,8
137,5,5,4,4,5,4,4,5,4,4,5,4,5,5,,5,5,,5,5,,3,
138,3,3,5,5,3,5,5,3,5,5,4,5,3,0,0,3,0,0,3,0,0,5,0
139,1,1,2,,1,2,,1,2,,3,,0,,,0,,,0,,,,
140,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,0,,,,
141,0,0,2,2,0,2,2,0,2,2,3,3,1,0,0,1,0,0,1,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,7,0,1,,,1,,,1,,,,
143,3,3,1,1,3,1,1,3,1,1,1,1,3,6,6,3,6,6,3,6,6,2,4
144,2,2,,,2,,,2,,,,,2,,,2,,,2,,,,
145,0,0,5,5,0,5,5,0,5,5,4,5,1,1,1,1,1,1,1,1,1,0,1
146,0,0,5,5,0,5,5,0,5,5,4,5,1,3,3,1,3,3,1,3,3,2,4
147,0,0,11,11,0,11,11,0,11,11,19,13,1,2,,1,2,,1,2,,1,
148,4,4,3,,4,3,,4,3,,2,,4,3,3,4,3,3,4,3,3,2,4
149,7,7,5,5,7,5,5,7,5,5,4,5,7,,,7,,,7,,,,
150,1,1,5,5,1,5,5,1,5,5,4,5,0,0,,0,0,,0,0,,5,
151,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
152,1,1,,,1,,,1,,,,,0,1,1,0,1,1,0,1,1,80,1
153,7,7,5,5,7,5,5,7,5,5,4,5,7,4,4,7,4,4,7,4,4,8,3
154,1,1,5,5,1,5,5,1,5,5,4,5,0,3,3,0,3,3,0,3,3,2,4
155,5,5,6,,5,6,,5,6,,68,,5,10,1,5,10,1,5,10,1,9,8
156,0,0,,,0,,,0,,,,,1,3,,1,3,,1,3,,2,
157,3,3,,,3,,,3,,,,,3,7,7,3,7,7,3,7,7,12,10
158,8,8,1,1,8,1,1,8,1,1,1,1,8,,,8,,,8,,,,
159,3,3,1,1,3,1,1,3,1,1,6,9,3,0,0,3,0,0,3,0,0,6,0
160,1,1,3,3,1,3,3,1,3,3,2,2,0,4,4,0,4,4,0,4,4,4,3
161,5,5,10,10,5,10,10,5,10,10,16,12,5,,,5,,,5,,,,
162,3,3,1,1,3,1,1,3,1,1,6,1,3,0,0,3,0,0,3,0,0,6,0
163,0,0,7,7,0,7,7,0,7,7,9,7,1,4,4,1,4,4,1,4,4,4,3
164,1,1,7,7,1,7,7,1,7,7,9,7,0,,,0,,,0,,,,
165,0,0,,,0,,,0,,,,,1,1,,1,1,,1,1,,0,
166,3,3,,,3,,,3,,,,,3,4,4,3,4,4,3,4,4,4,3
167,4,4,,,4,,,4,,,,,4,0,0,4,0,0,4,0,0,5,0
168,1,1,,,1,,,1,,,,,0,0,0,0,0,0,0,0,0,5,0
169,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
170,4,4,,,4,,,4,,,,,4,4,,4,4,,4,4,,4,
171,5,5,1,1,5,1,1,5,1,1,1,1,5,,,5,,,5,,,,
172,5,5,8,8,5,8,8,5,8,8,11,10,5,9,,5,9,,5,9,,14,
173,1,1,0,0,1,0,0,1,0,0,0,14,0,10,4,0,10,4,0,10,4,17,13
174,0,0,2,2,0,2,2,0,2,2,3,3,1,5,5,1,5,5,1,5,5,3,5
175,1,1,3,3,1,3,3,1,3,3,2,2,0,,,0,,,0,,,,
176,0,0,4,4,0,4,4,0,4,4,5,4,1,,,1,,,1,,,,
177,5,5,,,5,,,5,,,,,5,0,0,5,0,0,5,0,0,15,15
178,1,1,10,5,1,10,5,1,10,5,16,12,1,8,8,1,8,8,1,8,8,13,11
179,4,4,5,,4,5,,4,5,,4,,4,5,,4,5,,4,5,,3,
180,4,4,2,,4,2,,4,2,,3,,4,,,4,,,4,,,,
181,1,1,,,1,,,1,,,,,0,1,1,0,1,1,0,1,1,0,1
182,7,7,1,1,7,1,1,7,1,1,6,1,7,,,7,,,7,,,,
183,3,3,0,0,3,0,0,3,0,0,7,74,3,1,1,3,1,1,3,1,1,0,1
184,3,3,,,3,,,3,,,,,3,0,0,3,0,0,3,0,0,5,0
185,3,3,,,3,,,3,,,,,3,5,5,3,5,5,3,5,5,3,5
186,4,4,1,1,4,1,1,4,1,1,1,1,4,,,4,,,4,,,,
187,1,1,,,1,,,1,,,,,0,2,,0,2,,0,2,,1,
188,6,6,2,2,6,2,2,6,2,2,3,3,6,0,0,6,0,0,6,0,0,10,18
189,0,0,1,,0,1,,0,1,,1,,1,3,3,1,3,3,1,3,3,2,4
190,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
191,0,0,3,,0,3,,0,3,,2,,1,,,1,,,1,,,,
192,1,1,1,1,1,1,1,1,1,1,1,1,0,3,3,0,3,3,0,3,3,2,4
193,0,0,1,,0,1,,0,1,,1,,1,6,6,1,6,6,1,6,6,9,8
194,3,3,,,3,,,3,,,,,3,4,,3,4,,3,4,,4,
195,1,1,2,2,1,2,2,1,2,2,3,3,0,,,0,,,0,,,,
196,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
197,5,5,5,5,5,5,5,5,5,5,4,5,5,,,5,,,5,,,,
198,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
199,1,1,1,1,1,1,1,1,1,1,6,9,0,5,,0,5,,0,5,,3,
200,1,1,,,1,,,1,,,,,0,0,0,0,0,0,0,0,0,5,0
201,0,0,0,0,0,0,0,0,0,0,15,0,1,,,1,,,1,,,,
202,1,1,4,4,1,4,4,1,4,4,5,4,0,0,,0,0,,0,0,,5,
203,0,0,0,,0,0,,0,0,,0,,1,1,0,1,1,0,1,1,0,0,1
204,3,3,3,,3,3,,3,3,,2,,3,2,2,3,2,2,3,2,2,1,2
205,0,0,5,5,0,5,5,0,5,5,4,5,1,1,1,1,1,1,1,1,1,7,6
206,8,8,3,,8,3,,8,3,,2,,8,9,9,8,9,9,8,9,9,14,12
207,7,7,,,7,,,7,,,,,7,10,1,7,10,1,7,10,1,17,13
208,1,1,,,1,,,1,,,,,0,5,5,0,5,5,0,5,5,3,5
209,1,1,5,5,1,5,5,1,5,5,4,5,0,7,7,0,7,7,0,7,7,12,10
210,1,1,,,1,,,1,,,,,0,1,,0,1,,0,1,,0,
211,6,6,9,9,6,9,9,6,9,9,18,1,6,1,1,6,1,1,6,1,1,0,1
212,1,1,,,1,,,1,,,,,0,4,4,0,4,4,0,4,4,4,3
213,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
214,1,1,1,,1,1,,1,1,,6,,0,,,0,,,0,,,,
215,3,3,3,3,3,3,3,3,3,3,12,2,3,3,3,3,3,3,3,3,3,8,7
216,8,8,,,8,,,8,,,,,8,1,1,8,1,1,8,1,1,0,1
217,3,3,0,,3,0,,3,0,,0,,3,5,5,3,5,5,3,5,5,3,5
218,3,3,,,3,,,3,,,,,3,1,1,3,1,1,3,1,1,0,1
219,3,3,,,3,,,3,,,,,3,1,,3,1,,3,1,,0,
220,3,3,0,,3,0,,3,0,,0,,3,1,1,3,1,1,3,1,1,0,1
221,8,8,2,2,8,2,2,8,2,2,3,3,8,7,,8,7,,8,7,,12,
222,3,3,,,3,,,3,,,,,3,,,3,,,3,,,,
223,0,0,,,0,,,0,,,,,1,2,2,1,2,2,1,2,2,1,2
224,7,7,3,3,7,3,3,7,3,3,2,2,7,0,,7,0,,7,0,,6,
225,4,4,2,2,4,2,2,4,2,2,3,3,4,,,4,,,4,,,,
226,4,4,,,4,,,4,,,,,4,,,4,,,4,,,,
227,6,6,2,2,6,2,2,6,2,2,10,8,6,3,3,6,3,3,6,3,3,2,4
228,0,0,0,0,0,0,0,0,0,0,15,14,1,0,0,1,0,0,1,0,0,5,0
229,1,0,4,4,0,4,4,0,4,4,5,4,1,2,2,1,2,2,1,2,2,1,2
230,2,2,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,11,9
231,3,3,9,9,3,9,9,3,9,9,6,11,3,3,3,3,3,3,3,3,3,2,4
232,2,8,,,8,,,8,,,,,2,0,0,2,0,0,2,0,0,10,0
233,3,3,0,0,3,0,0,3,0,0,7,0,3,0,0,3,0,0,3,0,0,10,0
234,5,5,2,,5,2,,5,2,,3,,5,3,3,5,3,3,5,3,3,8,4
235,1,1,2,2,1,2,2,1,2,2,3,3,0,3,3,0,3,3,0,3,3,8,7
236,3,3,0,0,3,0,0,3,0,0,7,0,3,6,,3,6,,3,6,,4,
237,3,3,0,0,3,0,0,3,0,0,0,0,3,,,3,,,3,,,,
238,8,8,0,0,8,0,0,8,0,0,0,0,8,1,1,8,1,1,8,1,1,0,1
239,1,1,1,1,1,1,1,1,1,1,6,1,0,,,0,,,0,,,,
240,1,1,,,1,,,1,,,,,0,4,4,0,4,4,0,4,4,17,13
241,4,4,0,0,4,0,0,4,0,0,0,0,4,3,,4,3,,4,3,,8,
242,4,4,,,4,,,4,,,,,4,3,,4,3,,4,3,,2,
243,1,1,,,1,,,1,,,,,0,1,1,0,1,1,0,1,1,0,1
244,1,1,2,2,1,2,2,1,2,2,3,3,0,2,2,0,2,2,0,2,2,59,2
245,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
246,0,0,1,1,0,1,1,0,1,1,6,1,1,5,5,1,5,5,1,5,5,3,5
247,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,1,2,2,1,2
248,5,5,,,5,,,5,,,,,5,0,0,5,0,0,5,0,0,6,0
249,2,2,1,1,2,1,1,2,1,1,6,1,2,1,,2,1,,2,1,,7,
250,6,7,1,1,7,1,1,7,1,1,1,1,6,1,,6,1,,6,1,,0,
251,1,0,,,0,,,0,,,,,1,0,0,1,0,0,1,0,0,6,0
252,7,7,,,7,,,7,,,,,7,0,0,7,0,0,7,0,0,5,0
253,1,1,2,2,1,2,2,1,2,2,10,8,0,4,,0,4,,0,4,,4,
254,8,8,3,3,8,3,3,8,3,3,2,2,8,5,5,8,5,5,8,5,5,3,5
255,0,0,1,,0,1,,0,1,,1,,1,2,2,1,2,2,1,2,2,1,2
256,3,3,0,0,3,0,0,3,0,0,15,14,3,,,3,,,3,,,,
257,1,1,7,7,1,7,7,1,7,7,9,7,0,1,1,0,1,1,0,1,1,7,6
258,4,4,,,4,,,4,,,,,4,3,3,4,3,3,4,3,3,2,4
259,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,1,0,0,1,0,0,10,0
260,1,1,3,3,1,3,3,1,3,3,2,2,0,2,2,0,2,2,0,2,2,1,2
261,0,0,4,4,0,4,4,0,4,4,5,4,1,1,1,1,1,1,1,1,1,17,6
262,5,5,4,,5,4,,5,4,,12,,5,,,5,,,5,,,,
263,2,2,2,2,2,2,2,2,2,2,3,3,2,0,0,2,0,0,2,0,0,6,0
264,2,2,2,2,2,2,2,2,2,2,10,8,2,,,2,,,2,,,,
265,3,3,9,9,3,9,9,3,9,9,14,11,3,,,3,,,3,,,,
266,1,1,,,1,,,1,,,,,0,1,,0,1,,0,1,,0,
267,0,0,5,5,0,5,5,0,5,5,4,5,1,,,1,,,1,,,,
268,2,2,2,2,2,2,2,2,2,2,3,3,2,1,,2,1,,2,1,,0,
269,3,3,6,6,3,6,6,3,6,6,8,6,3,1,1,3,1,1,3,1,1,0,1
270,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
271,1,1,3,,1,3,,1,3,,2,,0,,,0,,,0,,,,
272,6,6,,,6,,,6,,,,,6,,,6,,,6,,,,
273,0,0,,,0,,,0,,,,,1,5,,1,5,,1,5,,3,
274,0,0,,,0,,,0,,,,,1,,,1,,,1,,,,
275,1,1,,,1,,,1,,,,,0,5,5,0,5,5,0,5,5,3,5
276,8,8,5,,8,5,,8,5,,4,,8,7,7,8,7,7,8,7,7,12,10
277,3,3,1,1,3,1,1,3,1,1,1,1,3,,,3,,,3,,,,
278,6,6,,,6,,,6,,,,,6,,,6,,,6,,,,
279,0,0,5,,0,5,,0,5,,4,,1,3,3,1,3,3,1,3,3,8,7
280,3,3,1,1,3,1,1,3,1,1,6,1,3,1,,3,1,,3,1,,7,
281,0,0,,,0,,,0,,,,,1,3,3,1,3,3,1,3,3,2,7
282,7,7,,,7,,,7,,,,,7,7,7,7,7,7,7,7,7,12,10
283,0,0,2,2,0,2,2,0,2,2,3,3,1,1,1,1,1,1,1,1,1,0,1
284,3,3,,,3,,,3,,,,,3,9,9,3,9,9,3,9,9,8,0
285,1,0,,,0,,,0,,,,,0,,,0,,,0,,,,
286,4,4,3,,4,3,,4,3,,12,,4,1,1,4,1,1,4,1,1,0,1
287,2,2,2,2,2,2,2,2,2,2,3,3,2,0,0,2,0,0,2,0,0,5,0
288,0,0,0,0,0,0,0,0,0,0,49,0,1,,,1,,,1,,,,
289,0,0,3,3,0,3,3,0,3,3,2,2,1,1,1,1,1,1,1,1,1,7,6
290,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10,0
291,0,0,3,3,0,3,3,0,3,3,2,2,1,,,1,,,1,,,,
292,1,1,0,,1,0,,1,0,,7,,0,2,2,0,2,2,0,2,2,114,2
293,0,0,2,2,0,2,2,0,2,2,10,8,1,4,,1,4,,1,4,,4,
294,0,0,3,3,0,3,3,0,3,3,2,2,1,0,0,1,0,0,1,0,0,19,0
295,4,4,,,4,,,4,,,,,4,,,4,,,4,,,,
296,5,5,,,5,,,5,,,,,5,3,3,5,3,3,5,3,3,8,7
297,1,1,3,3,1,3,3,1,3,3,2,2,0,,,0,,,0,,,,
298,1,1,0,0,1,0,0,1,0,0,0,0,0,,,0,,,0,,,,
299,5,5,6,6,5,6,6,5,6,6,8,6,5,1,1,5,1,1,5,1,1,0,1
300,5,5,5,5,5,5,5,5,5,5,4,5,5,,,5,,,5,,,,
301,2,2,,,2,,,2,,,,,2,10,4,2,10,4,2,10,4,17,13
302,3,3,,,3,,,3,,,,,6,2,2,6,2,2,6,2,2,11,9
303,0,0,9,,0,9,,0,9,,1,,1,,,1,,,1,,,,
304,7,7,0,0,7,0,0,7,0,0,0,0,7,,,7,,,7,,,,
305,7,7,,,7,,,7,,,,,7,,,7,,,7,,,,
306,3,3,,,3,,,3,,,,,3,4,4,3,4,4,3,4,4,4,3
307,3,3,1,1,3,1,1,3,1,1,6,9,3,3,3,3,3,3,3,3,3,2,4
308,4,4,4,3,4,4,3,4,4,3,12,2,3,4,4,3,4,4,3,4,4,4,3
309,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
310,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
311,8,8,3,3,8,3,3,8,3,3,2,2,8,2,,8,2,,8,2,,11,
312,1,1,5,5,1,5,5,1,5,5,4,5,0,2,,0,2,,0,2,,1,
313,1,1,5,5,1,5,5,1,5,5,4,5,0,3,,0,3,,0,3,,4,
314,5,5,1,1,5,1,1,5,1,1,1,1,5,,,5,,,5,,,,
315,3,3,5,5,3,5,5,3,5,5,4,5,3,3,3,3,3,3,3,3,3,8,7
316,0,0,5,5,0,5,5,0,5,5,4,5,1,,,1,,,1,,,,
317,1,1,3,3,1,3,3,1,3,3,2,2,0,,,0,,,0,,,,
318,1,1,4,4,1,4,4,1,4,4,5,4,0,1,1,0,1,1,0,1,1,7,6
319,7,7,,,7,,,7,,,,,7,1,1,7,1,1,7,1,1,0,1
320,3,3,,,3,,,3,,,,,3,5,5,3,5,5,3,5,5,3,5
321,8,8,,,8,,,8,,,,,8,,,8,,,8,,,,
322,0,0,5,,0,5,,0,5,,4,,1,2,2,1,2,2,1,2,2,1,2
323,5,5,2,2,5,2,2,5,2,2,3,3,5,,,5,,,5,,,,
324,3,3,11,3,3,11,3,3,11,3,13,13,3,,,3,,,3,,,,
