,original,perturbated_noise3_0,upsampled_perturbated_noise3_0,downsampled_perturbated_noise3_0,perturbated_noise10_0,upsampled_perturbated_noise10_0,downsampled_perturbated_noise10_0,perturbated_noise100_0,upsampled_perturbated_noise100_0,downsampled_perturbated_noise100_0,upsampled_0,downsampled_0,perturbated_noise3_1,upsampled_perturbated_noise3_1,downsampled_perturbated_noise3_1,perturbated_noise10_1,upsampled_perturbated_noise10_1,downsampled_perturbated_noise10_1,perturbated_noise100_1,upsampled_perturbated_noise100_1,downsampled_perturbated_noise100_1,upsampled_1,downsampled_1
33914,7,7,9,9,7,9,9,7,9,9,14,11,7,5,5,7,5,5,7,5,5,3,5
33915,1,1,,,1,,,1,,,,,0,10,,0,10,,0,10,,17,
33916,4,4,1,1,4,1,1,4,1,1,6,1,4,0,0,4,0,0,4,0,0,10,0
33917,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
33918,4,4,,,4,,,4,,,,,4,0,,4,0,,4,0,,5,
33919,0,0,6,6,0,6,6,0,6,6,2,2,1,2,2,1,2,2,1,2,2,1,2
33920,5,5,1,1,5,1,1,5,1,1,6,9,5,,,5,,,5,,,,
33921,8,8,0,,8,0,,8,0,,0,,8,1,1,8,1,1,8,1,1,0,1
33922,7,7,8,8,7,8,8,7,8,8,11,10,7,0,0,7,0,0,7,0,0,6,0
33923,4,4,,,4,,,4,,,,,4,4,4,4,4,4,4,4,4,8,3
33924,2,2,2,2,2,2,2,2,2,2,10,8,2,3,3,2,3,3,2,3,3,8,7
33925,9,9,2,2,9,2,2,9,2,2,10,8,9,,,9,,,9,,,,
33926,5,5,1,1,5,1,1,5,1,1,1,1,5,4,4,5,4,4,5,4,4,4,3
33927,4,4,3,3,4,3,3,4,3,3,2,2,4,1,1,4,1,1,4,1,1,0,1
33928,4,4,1,1,4,1,1,4,1,1,6,1,4,1,,4,1,,4,1,,6,
33929,5,5,4,4,5,4,4,5,4,4,5,4,5,,,5,,,5,,,,
33930,5,5,2,2,5,2,2,5,2,2,3,3,5,1,1,5,1,1,5,1,1,0,1
33931,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
33932,4,4,2,2,4,2,2,4,2,2,3,3,4,,,4,,,4,,,,
33933,1,1,,,1,,,1,,,,,0,2,2,0,2,2,0,2,2,1,2
33934,9,9,,,9,,,9,,,,,9,4,4,9,4,4,9,4,4,4,3
33935,2,2,,,2,,,2,,,,,2,0,0,2,0,0,2,0,0,6,0
33936,3,3,11,11,3,11,11,3,11,11,13,13,4,,,4,,,4,,,,
33937,1,1,7,7,1,7,7,1,7,7,9,7,0,3,3,0,3,3,0,3,3,8,7
33938,4,4,,,4,,,4,,,,,4,5,,4,5,,4,5,,3,
33939,7,7,0,0,7,0,0,7,0,0,0,0,7,3,3,7,3,3,7,3,3,2,4
33940,5,5,4,4,5,4,4,5,4,4,5,4,5,,,5,,,5,,,,
33941,2,2,0,0,2,0,0,2,0,0,15,14,2,5,5,2,5,5,2,5,5,3,5
33942,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
33943,4,4,0,0,4,0,0,4,0,0,7,0,4,,,4,,,4,,,,
33944,2,2,1,1,2,1,1,2,1,1,1,1,2,,,2,,,2,,,,
33945,1,1,,,1,,,1,,,,,0,8,8,0,8,8,0,8,8,13,11
33946,3,3,2,2,3,2,2,3,2,2,3,3,3,,,3,,,3,,,,
33947,5,5,2,2,5,2,2,5,2,2,10,8,5,,,5,,,5,,,,
33948,7,7,,,7,,,7,,,,,7,0,0,7,0,0,7,0,0,6,0
33949,2,2,,,2,,,2,,,,,2,,,2,,,2,,,,
33950,5,5,1,,5,1,,5,1,,6,,5,2,,5,2,,5,2,,11,
33951,1,1,2,2,1,2,2,1,2,2,3,3,0,5,,0,5,,0,5,,3,
33952,2,2,,,2,,,2,,,,,2,9,9,2,9,9,2,9,9,14,12
33953,5,5,0,0,5,0,0,5,0,0,15,14,5,0,0,5,0,0,5,0,0,0,1
33954,1,1,3,3,1,3,3,1,3,3,12,2,0,,,0,,,0,,,,
33955,2,2,,,2,,,2,,,,,2,3,3,2,3,3,2,3,3,2,4
