Cell Type,MS Unique Markers
B cells,"{'AC006504.7', 'OR6B2', 'AC005740.3', 'AL603824.1', 'AC104793.1', 'AC132803.1', 'AL391730.2', 'LINC02416', 'AC093732.2', 'LINC02105', 'HMHB1', 'SPRY4', 'GNPDA1', 'AC109441.1', 'OR7E24', 'GREB1L', 'GP1BB', 'RNF14', 'AJ003147.1'}"
DC,"{'VKORC1L1', 'RAG1', 'AC005740.3', 'CACNA1C', 'FGF20', 'PCDHAC2', 'ITGA5', 'LINC02105', 'AL731537.2', 'SPRY4', 'GNPDA1', 'AC109441.1', 'CD83', 'OR7E24', 'RNF14', 'RTL1', 'DNM3OS', 'FSD2', 'MEF2C', 'RIN2'}"
HSC/MPP,"{'AC061992.2', 'LINC01271', 'NMBR-AS1', 'HSD3B2', 'AC092338.2', 'AL391730.2', 'AC127502.2', 'PCDHAC2', 'PCDHB10', 'AC092378.1', 'AC245014.3', 'AC000065.1', 'ASH1L-AS1', 'AC022364.1', 'PCDHAC1', 'GLTPD2', 'SIRPG-AS1', 'MEF2C', 'LINC02795'}"
ILC,"{'LINC02465', 'FFAR3', 'AL391832.1', 'TFAM', 'CACNA1C', 'GTF2A1L', 'AC083801.2', 'CCDC89', 'SVEP1', 'ZFAND2B', 'LINC02368', 'GRM5', 'TMEM135', 'LINC02722', 'AL355388.3', 'OR7E24', 'ALDH3A2', 'AP002370.2'}"
Monocytes,"{'AC006504.7', 'AL603824.1', 'AC005695.3', 'LINC02416', 'AC012065.3', 'AC093732.2', 'LINC02105', 'LINC02722', 'AC016723.1', 'LINC02417', 'GNPDA1', 'C1orf147', 'GREB1L', 'RNF14', 'SYT16', 'AJ003147.1', 'AL353596.1'}"
Plasma cells,"{'AC006504.7', 'AL603824.1', 'AJ003147.1', 'MGAT4C', 'SAMD4B', 'GREB1L', 'GCNT7', 'GP1BB', 'SYT16', 'FCRL1', 'COL19A1', 'LINC02105', 'CSTF1'}"
T cells,"{'TBC1D4', 'AC037198.2', 'ADGRD1', 'ELOVL6', 'SERINC5', 'AFAP1L2', 'NEAT1', 'AC183088.3', 'MYBL1', 'MT-ND6', 'AP3M2', 'MAF'}"
