Cell Type,Common Markers
Monocytes,"{'AC024361.3', 'HIST2H4A', 'AC006504.7', 'AJ003147.1', 'CASS4', 'AC243772.2', 'SYT16', 'LINC01716', 'SAMD4B', 'ITGA10', 'AL359475.1', 'CSTF1', 'GCNT7', 'AL603824.1', 'GREB1L', 'FAM209A', 'C1orf147', 'AC093732.2'}"
Megakaryocyte precursor,set()
HSC/MPP,"{'AC006504.7', 'CASS4', 'SAMD4B', 'GCNT7', 'AL359475.1', 'AL603824.1', 'FAM209A', 'AC093516.1', 'AC093732.2'}"
ILC,"{'FCGR3A', 'EFHD2', 'PRF1', 'KLRD1', 'CTSW', 'NKG7', 'FGFBP2', 'GZMB', 'GNLY'}"
B cells,"{'HLA-DQA1', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DMB', 'HLA-DRA', 'HLA-DQB1', 'MEF2C', 'CD74', 'MARCH1', 'HLA-DRB1', 'HLA-DRB5'}"
DC,"{'LYZ', 'HLA-DRA', 'CST3', 'CD74'}"
Plasma cells,"{'CASS4', 'SYT16', 'SAMD4B', 'AL359475.1', 'CSTF1', 'AL603824.1', 'GREB1L', 'FAM209A', 'AC093516.1', 'AC093732.2'}"
T cells,"{'GZMK', 'NELL2', 'LEF1', 'SERINC5', 'CD8B', 'ITGA6', 'TSHZ2', 'PDE3B', 'TRABD2A', 'CD8A', 'DGKA', 'AP3M2'}"
