,data,random_seed,adjusted_rand,adjusted_mutual_info,homogeneity,completeness,v_measure,fowlkes_mallows
0,original,,1.0,1.0,1.0,1.0,1.0,1.0
1,perturbated_noise3_0,0.0,0.9310525459785634,0.913034711067967,0.915581359677929,0.9105707360352661,0.9130691737442638,0.9405427952120591
2,upsampled_perturbated_noise3_0,0.0,-2.4420506491783044e-05,-0.0001781826356070312,0.0006586946455783404,0.0006424314978876323,0.0006504614328664791,0.13554445773492638
3,downsampled_perturbated_noise3_0,0.0,-0.00010440235757509664,-0.00024951590748796396,0.0007308435851251199,0.0007171141897977832,0.000723913797063334,0.13522281246309897
4,perturbated_noise10_0,0.0,0.9310525459785634,0.913034711067967,0.915581359677929,0.9105707360352661,0.9130691737442638,0.9405427952120591
5,upsampled_perturbated_noise10_0,0.0,-2.4420506491783044e-05,-0.0001781826356070312,0.0006586946455783404,0.0006424314978876323,0.0006504614328664791,0.13554445773492638
6,downsampled_perturbated_noise10_0,0.0,-0.00010440235757509664,-0.00024951590748796396,0.0007308435851251199,0.0007171141897977832,0.000723913797063334,0.13522281246309897
7,perturbated_noise100_0,0.0,0.9310525459785634,0.913034711067967,0.915581359677929,0.9105707360352661,0.9130691737442638,0.9405427952120591
8,upsampled_perturbated_noise100_0,0.0,-2.4420506491783044e-05,-0.0001781826356070312,0.0006586946455783404,0.0006424314978876323,0.0006504614328664791,0.13554445773492638
9,downsampled_perturbated_noise100_0,0.0,-0.00010440235757509664,-0.00024951590748796396,0.0007308435851251199,0.0007171141897977832,0.000723913797063334,0.13522281246309897
10,upsampled_0,0.0,0.00024247054283884576,5.670458962428573e-05,0.008886072328011588,0.006677031047256118,0.007624775006839049,0.10531406036230845
11,downsampled_0,0.0,-7.4110913847971e-05,7.238578927547568e-07,0.004935257266040052,0.004325724446531177,0.004610431953806944,0.1237602961208875
12,perturbated_noise3_1,42.0,0.9316545362154449,0.9144229632810724,0.9174948833004872,0.911438877250285,0.914456853884581,0.941059461294267
13,upsampled_perturbated_noise3_1,42.0,-0.00013438967792096923,-4.1417294241752335e-05,0.0007065987875542845,0.0006886383077857911,0.0006975029476639199,0.13533948186686973
14,downsampled_perturbated_noise3_1,42.0,-0.00015597040392632876,5.6251295181078616e-05,0.0010386105427564788,0.0010335794768972042,0.0010360889023696487,0.13618192166546814
15,perturbated_noise10_1,42.0,0.9316545362154449,0.9144229632810724,0.9174948833004872,0.911438877250285,0.914456853884581,0.941059461294267
16,upsampled_perturbated_noise10_1,42.0,-0.00013438967792096923,-4.1417294241752335e-05,0.0007065987875542845,0.0006886383077857911,0.0006975029476639199,0.13533948186686973
17,downsampled_perturbated_noise10_1,42.0,-0.00015597040392632876,5.6251295181078616e-05,0.0010386105427564788,0.0010335794768972042,0.0010360889023696487,0.13618192166546814
18,perturbated_noise100_1,42.0,0.9316545362154449,0.9144229632810724,0.9174948833004872,0.911438877250285,0.914456853884581,0.941059461294267
19,upsampled_perturbated_noise100_1,42.0,-0.00013438967792096923,-4.1417294241752335e-05,0.0007065987875542845,0.0006886383077857911,0.0006975029476639199,0.13533948186686973
20,downsampled_perturbated_noise100_1,42.0,-0.00015597040392632876,5.6251295181078616e-05,0.0010386105427564788,0.0010335794768972042,0.0010360889023696487,0.13618192166546814
21,upsampled_1,42.0,-8.404034666530825e-05,-0.00024836450918605817,0.008425400800460524,0.006143752204321796,0.007105914080678896,0.09994196623332453
22,downsampled_1,42.0,-0.0001084839992926535,-4.249160206449617e-06,0.004752750520906078,0.003975700214079207,0.004329636916593815,0.11613709119960629
