Cell Type,MS Unique Markers
B cells,"{'RALGPS2', 'LINC00926', 'CD79B', 'AFF3', 'BANK1', 'IGKC', 'IGHM', 'CD79A', 'MS4A1'}"
ILC,"{'TRDC', 'KLRF1', 'IL2RB', 'FCER1G', 'CST7', 'CLIC3', 'CEP78', 'HOPX', 'ZEB2', 'SPON2', 'TYROBP'}"
DC,"{'AL359475.1', 'CASS4', 'HLA-DQB1', 'AC102945.1', 'AC093732.2', 'AURKA', 'GCNT7', 'FAM209A', 'HLA-DRB5', 'TEAD4', 'PCDHA4', 'LINC01716', 'CSTF1', 'AC087752.3', 'PCDHA2', 'AP002449.1'}"
Plasma cells,"{'AC006504.7', 'BRIP1', 'OR7E24', 'C1orf147', 'AJ003147.1', 'AC024361.3', 'HIST2H4A', 'LINC01716', 'AC243772.2', 'CLEC12B'}"
HSC/MPP,"{'AURKA', 'AC102945.1', 'MGAT4C', 'C1orf147', 'AC105389.2', 'AC024361.3', 'MYOZ2', 'LINC01716', 'BX649632.1', 'CSTF1', 'AP002449.1'}"
Monocytes,"{'BRIP1', 'OR7E24'}"
T cells,"{'TBC1D4', 'ACTN1', 'ELOVL6', 'ADGRD1', 'FAM153CP', 'AFAP1L2', 'IL6ST', 'CHRM3-AS2'}"
Megakaryocyte precursor,"{'GP1BB', 'FFAR2', 'AC082650.1', 'TNFRSF10C', 'GMNC', 'AL356387.1', 'PRSS57', 'MROH2A', 'AC009533.4', 'AP003173.1', 'SOX4', 'PDZD8', 'KCNJ15', 'SEMA5B', 'UGT1A6', 'TSPYL6', 'AC005609.1', 'AQP9', 'AC063976.1', 'AC010987.1'}"
