Cell Type,HC Unique Markers
B cells,"{'HLA-DPA1', 'AIF1', 'CST3', 'SPI1', 'HLA-DQB1', 'HLA-DMA', 'MARCH1', 'RNASE6', 'LST1', 'TYROBP', 'MS4A6A', 'HLA-DQA1', 'CD74', 'FCER1G', 'HLA-DRB5', 'HLA-DPB1', 'HLA-DMB', 'HLA-DRB1', 'HLA-DRA'}"
DC,"{'DUSP1', 'PSAP', 'LYN', 'MARCKS', 'LYZ', 'RAB31', 'SPI1', 'CEBPB', 'CEBPD', 'TYROBP', 'FOS', 'TYMP', 'SAT1', 'TIMP2', 'IFI30', 'CCDC88A', 'CLEC7A', 'NEAT1', 'HLA-DRA', 'GLUL'}"
HSC/MPP,"{'AC006504.7', 'SLC38A11', 'SCN3A', 'NUDT18', 'AC104793.1', 'AC024361.3', 'MYOZ2', 'BX649632.1', 'FCRL2', 'GCNT7', 'AC025887.1', 'AC016766.1', 'OR7E24', 'TEAD4', 'CTCF', 'FBXW9', 'LINC02105', 'AC113194.1', 'SAMD4B'}"
ILC,"{'TRDC', 'SRGN', 'ID2', 'TRAJ61', 'TRAJ49', 'XCL2', 'TRAJ57', 'KLRK1', 'XCL1', 'CMC1', 'KLRF1', 'PRF1', 'IFITM2', 'HOPX', 'KLRD1', 'CTSW', 'GNLY', 'NKG7'}"
Monocytes,"{'TEX52', 'CD14', 'AL137001.1', 'AIF1', 'CST3', 'SPI1', 'TYROBP', 'CYBB', 'FCER1G', 'ITGA5', 'IFI30', 'LINC01716', 'CD68', 'SOX5', 'SERPINA1', 'PCDHA2', 'PCDHA4'}"
Plasma cells,"{'AURKA', 'AC102945.1', 'AC000065.1', 'FCER1G', 'AL359475.1', 'SLC38A11', 'NUDT18', 'AC055733.2', 'PF4', 'OR7A5', 'SIRPG-AS1', 'PCDHA2', 'AP002449.1'}"
T cells,"{'ITGA6', 'MIAT', 'TRAJ61', 'TRAJ49', 'CD8B', 'CST7', 'KLRB1', 'CD8A', 'TRAJ57', 'GBP5', 'LEF1', 'DUSP2'}"
